pdb,r0,r1,r2,r3,r4,r5
5am0,-9.892913057600381,-10.22498859249522,-10.008274625717018,-10.460160494980881,-11.520767222753346,-12.244443817399617
5am3,-13.170121644837474,-12.504560871892927,-11.571075695745696,-9.122426394359463,-7.549977976099425,-9.127343453393882
5alg,-10.036416605401527,-9.971558013145316,-10.984895612332693,-13.5123230458891,-16.179593527485657,-18.694860275095603
5aly,-10.617152637667306,-12.281909860181644,-14.042988909655831,-13.584278739005732,-11.700195096797323,-13.316058807600381
5alh,-12.958875087476098,-14.219953453154874,-15.313471864483747,-14.490817182122376,-12.014645561663478,-12.640535489483746
